Muraste Coop Konsumi pakiautomaat,59.454815,24.443563
Rakvere Lilleoru kaupluse pakiautomaat,59.327658,26.364531
Mustika postkontor,59.410937,24.681539
Turba kaupluse pakiautomaat,59.08076,24.236498
Paide Hesburgeri pakiautomaat,58.886532,25.54197
Sauga Coop Konsumi pakiautomaat,58.429088,24.497332
Tallinna Vikerlase Rimi pakiautomaat,59.439263,24.843896
Pärnu Oja Selver ABC pakiautomaat,58.390586,24.531032
Kohtla-Järve Mõisa tee Maxima X pakiautomaat,59.406581,27.290852
Tallinna Tähesaju Selveri pakiautomaat,59.44176,24.850299
Tallinna Paasiku Grossi pakiautomaat,59.448618,24.844889
Sindi Maxima X pakiautomaat,58.407817,24.659602
Tallinna Ehitajate tee Grossi pakiautomaat,59.401747,24.668363
Lagedi Keskusehoone pakiautomaat,59.402189,24.941774
Kiviõli Grossi pakiautomaat,59.356588,26.974969
Jüri Grossi pakiautomaat,59.354066,24.893187
Tõrvandi Coop Konsumi pakiautomaat,58.323037,26.71067
Kõrveküla Coop kaupluse pakiautomaat,58.419839,26.761363
Sauga postkontor,58.429052,24.497619
Vastseliina postkontor,57.731987,27.284067
Põltsamaa postkontor,58.653564,25.973202
Pallasti postkontor,59.430153,24.792423
Mõisaküla postipunkt,58.092428,25.186386
Karksi- Nuia postipunkt,58.104135,25.546922
Tallinna Tammsaare Ärikeskuse pakiautomaat,59.401454,24.716312
Tsooru postipunkt (Coop),57.741855,26.651857
Kärstna postipunkt (Coop),58.143794,25.805897
Sindi postkontor,58.404795,24.651648
Konguta postipunkt,58.26728,26.308054
Purtse postipunkt (AldarMarket),59.412478,27.025185
Tudulinna postipunkt,59.035903,27.081454
Lasva postipunkt,57.863347,27.176851
Audru postkontor,58.407778,24.356331
Audru osavallakeskuse pakiautomaat,58.40785,24.356293
Lõunakeskuse postkontor,58.357394,26.677611
Puka postipunkt,58.052314,26.227945
Pärnu postkontor,58.385906,24.503295
Kõmsi pakiautomaat,58.623624,23.632895
Saaremaa Kaubamaja pakiautomaat,58.252398,22.485956
Sangaste postipunkt,57.925608,26.330912
Valga postkontor,57.778976,26.03668
Nõo vallamaja pakiautomaat,58.272562,26.521202
